# AK40-10 Torque/Current Verification Log
# Date: 2026-09-16 15:36:45
# Mode: MIT
# CAN ID: 2
# Kt_eff: 0.4816 Nm/A
# Gear Ratio: 10.0
# Input Mode: TORQUE
# MIT Kp: 0.0
# MIT Kd: 0.5
# MIT v_des: 0.0
# MIT p_des: 0.0

time_s,target_current_A,actual_current_A,target_torque_Nm,actual_torque_Nm,position_rad,position_deg,speed_rad_s,speed_rpm,motor_temp_C,mos_temp_C,voltage_V,error_code,sweep_step
0.1298,0.00000,-0.01268,0.00000,-0.00611,-12.36648,-708.547,-0.01111,-0.106,55.0,55.0,0.0,0,
0.3814,0.00000,-0.01775,0.00000,-0.00855,-12.36648,-708.547,0.05556,0.531,55.0,55.0,0.0,0,
0.5372,0.00000,0.00254,0.00000,0.00122,-12.36839,-708.657,-0.01111,-0.106,55.0,55.0,0.0,0,
0.6561,0.00000,0.00254,0.00000,0.00122,-12.36954,-708.722,-0.10000,-0.955,55.0,55.0,0.0,0,
0.7750,0.00000,-0.01775,0.00000,-0.00855,-12.36954,-708.722,-0.01111,-0.106,55.0,55.0,0.0,0,
0.9140,0.00000,-0.02789,0.00000,-0.01343,-12.36954,-708.722,0.10000,0.955,55.0,55.0,0.0,0,
1.0457,0.00000,-0.02282,0.00000,-0.01099,-12.36954,-708.722,-0.03333,-0.318,55.0,55.0,0.0,0,
1.1505,0.00000,0.00254,0.00000,0.00122,-12.36954,-708.722,0.03333,0.318,55.0,55.0,0.0,0,
1.2738,0.00000,0.01268,0.00000,0.00611,-12.36954,-708.722,0.03333,0.318,55.0,55.0,0.0,0,
1.4323,0.00000,-0.01268,0.00000,-0.00611,-12.36954,-708.722,-0.01111,-0.106,55.0,55.0,0.0,0,
1.5872,0.00000,-0.01775,0.00000,-0.00855,-12.36992,-708.744,0.01111,0.106,55.0,55.0,0.0,0,
1.7595,0.00000,-0.00254,0.00000,-0.00122,-12.36992,-708.744,0.03333,0.318,55.0,55.0,0.0,0,
1.9367,0.00000,-0.03803,0.00000,-0.01832,-12.36992,-708.744,-0.05556,-0.531,55.0,55.0,0.0,0,
2.0898,0.00000,-0.01775,0.00000,-0.00855,-12.36992,-708.744,-0.03333,-0.318,54.0,54.0,0.0,0,
2.2145,0.00000,-0.02282,0.00000,-0.01099,-12.36992,-708.744,-0.03333,-0.318,54.0,54.0,0.0,0,
2.3446,0.00000,0.00254,0.00000,0.00122,-12.36992,-708.744,0.03333,0.318,54.0,54.0,0.0,0,
2.4922,0.00000,-0.05324,0.00000,-0.02564,-12.36992,-708.744,-0.07778,-0.743,54.0,54.0,0.0,0,
2.6513,0.00000,-0.02282,0.00000,-0.01099,-12.36992,-708.744,-0.01111,-0.106,54.0,54.0,0.0,0,
2.7873,0.00000,-0.00761,0.00000,-0.00366,-12.36992,-708.744,-0.07778,-0.743,54.0,54.0,0.0,0,
2.9008,0.00000,-0.01268,0.00000,-0.00611,-12.36992,-708.744,0.10000,0.955,54.0,54.0,0.0,0,
3.0056,0.00000,-0.00254,0.00000,-0.00122,-12.36992,-708.744,-0.05556,-0.531,54.0,54.0,0.0,0,
3.1321,0.00000,-0.04310,0.00000,-0.02076,-12.36992,-708.744,0.01111,0.106,54.0,54.0,0.0,0,
3.2335,0.00000,-0.01775,0.00000,-0.00855,-12.36992,-708.744,-0.03333,-0.318,54.0,54.0,0.0,0,
3.3778,1.03821,0.10395,0.50000,0.05006,-12.36534,-708.482,-0.01111,-0.106,54.0,54.0,0.0,0,
3.6440,1.03821,0.55523,0.50000,0.26740,-12.34703,-707.433,0.03333,0.318,54.0,54.0,0.0,0,
3.7648,1.03821,0.77327,0.50000,0.37241,-12.34283,-707.192,0.05556,0.531,54.0,54.0,0.0,0,
3.9094,1.03821,0.99637,0.50000,0.47985,-12.33978,-707.017,-0.01111,-0.106,54.0,54.0,0.0,0,
4.0239,1.03821,0.99637,0.50000,0.47985,-12.33902,-706.974,0.03333,0.318,54.0,54.0,0.0,0,
4.1422,1.03821,1.00144,0.50000,0.48230,-12.33902,-706.974,-0.01111,-0.106,54.0,54.0,0.0,0,
4.2783,1.03821,1.02173,0.50000,0.49206,-12.33902,-706.974,-0.01111,-0.106,54.0,54.0,0.0,0,
4.4058,1.03821,1.02173,0.50000,0.49206,-12.33902,-706.974,0.03333,0.318,54.0,54.0,0.0,0,
4.5357,1.03821,1.03187,0.50000,0.49695,-12.33902,-706.974,0.01111,0.106,54.0,54.0,0.0,0,
4.6485,1.03821,1.00651,0.50000,0.48474,-12.33864,-706.952,0.03333,0.318,54.0,54.0,0.0,0,
4.7866,1.03821,1.02173,0.50000,0.49206,-12.33902,-706.974,-0.03333,-0.318,54.0,54.0,0.0,0,
4.8870,1.03821,1.02173,0.50000,0.49206,-12.33902,-706.974,-0.03333,-0.318,54.0,54.0,0.0,0,
4.9785,1.03821,1.03187,0.50000,0.49695,-12.33864,-706.952,0.01111,0.106,54.0,54.0,0.0,0,
5.0735,1.03821,1.02173,0.50000,0.49206,-12.33864,-706.952,-0.01111,-0.106,54.0,54.0,0.0,0,
5.1686,1.03821,1.02680,0.50000,0.49451,-12.33864,-706.952,0.05556,0.531,54.0,54.0,0.0,0,
5.2565,1.03821,0.99130,0.50000,0.47741,-12.33864,-706.952,-0.01111,-0.106,54.0,54.0,0.0,0,
5.3556,1.03821,1.04201,0.50000,0.50183,-12.33864,-706.952,-0.01111,-0.106,54.0,54.0,0.0,0,
5.5191,1.03821,1.02173,0.50000,0.49206,-12.33864,-706.952,0.05556,0.531,54.0,54.0,0.0,0,
5.6215,1.03821,1.02680,0.50000,0.49451,-12.33864,-706.952,-0.01111,-0.106,54.0,54.0,0.0,0,
5.7434,1.03821,1.02680,0.50000,0.49451,-12.33864,-706.952,0.01111,0.106,54.0,54.0,0.0,0,
5.8447,1.03821,1.03187,0.50000,0.49695,-12.33864,-706.952,0.07778,0.743,54.0,54.0,0.0,0,
5.9676,1.03821,1.02173,0.50000,0.49206,-12.33864,-706.952,0.03333,0.318,54.0,54.0,0.0,0,
6.0790,1.03821,1.03694,0.50000,0.49939,-12.33864,-706.952,0.03333,0.318,54.0,54.0,0.0,0,
6.1877,1.03821,1.02680,0.50000,0.49451,-12.33864,-706.952,-0.05556,-0.531,54.0,54.0,0.0,0,
6.2990,1.03821,1.01666,0.50000,0.48962,-12.33864,-706.952,-0.03333,-0.318,54.0,54.0,0.0,0,
6.4268,1.03821,1.01666,0.50000,0.48962,-12.33864,-706.952,-0.07778,-0.743,54.0,54.0,0.0,0,
6.5615,1.03821,1.02680,0.50000,0.49451,-12.33864,-706.952,-0.07778,-0.743,54.0,54.0,0.0,0,
6.6991,1.03821,1.01159,0.50000,0.48718,-12.33864,-706.952,0.01111,0.106,54.0,54.0,0.0,0,
6.8652,1.03821,1.02173,0.50000,0.49206,-12.33864,-706.952,-0.05556,-0.531,54.0,54.0,0.0,0,
7.0139,1.03821,1.02173,0.50000,0.49206,-12.33864,-706.952,0.03333,0.318,54.0,54.0,0.0,0,
7.1702,1.03821,1.02173,0.50000,0.49206,-12.33864,-706.952,-0.07778,-0.743,55.0,55.0,0.0,0,
7.2938,1.03821,1.02680,0.50000,0.49451,-12.33864,-706.952,0.03333,0.318,55.0,55.0,0.0,0,
7.3994,1.03821,1.03187,0.50000,0.49695,-12.33864,-706.952,-0.01111,-0.106,55.0,55.0,0.0,0,
7.5183,1.03821,1.02680,0.50000,0.49451,-12.33864,-706.952,0.03333,0.318,55.0,55.0,0.0,0,
