# AK40-10 Torque/Current Verification Log
# Date: 2026-09-17 09:34:38
# Mode: MIT
# CAN ID: 1
# Kt_eff: 0.4816 Nm/A
# Gear Ratio: 10.0
# Input Mode: AMPS
# MIT Kp: 0.0
# MIT Kd: 0.5
# MIT v_des: 0.0
# MIT p_des: 0.0

time_s,target_current_A,actual_current_A,target_torque_Nm,actual_torque_Nm,position_rad,position_deg,speed_rad_s,speed_rpm,motor_temp_C,mos_temp_C,voltage_V,error_code,sweep_step
0.0596,0.00000,-0.00254,0.00000,-0.00122,0.36030,20.644,-0.03333,-0.318,25.0,25.0,0.0,0,
0.1055,0.00000,-0.00254,0.00000,-0.00122,0.36030,20.644,-0.03333,-0.318,25.0,25.0,0.0,0,
0.1559,0.00000,-0.00254,0.00000,-0.00122,0.36030,20.644,-0.03333,-0.318,25.0,25.0,0.0,0,
0.2034,0.00000,-0.00254,0.00000,-0.00122,0.36030,20.644,-0.03333,-0.318,25.0,25.0,0.0,0,
0.2471,0.00000,-0.00254,0.00000,-0.00122,0.36030,20.644,-0.03333,-0.318,25.0,25.0,0.0,0,
0.3060,0.00000,-0.00254,0.00000,-0.00122,0.36030,20.644,-0.03333,-0.318,25.0,25.0,0.0,0,
0.3531,0.00000,-0.00254,0.00000,-0.00122,0.36030,20.644,-0.03333,-0.318,25.0,25.0,0.0,0,
0.4271,0.00000,-0.00254,0.00000,-0.00122,0.36030,20.644,-0.03333,-0.318,25.0,25.0,0.0,0,
0.4788,0.00000,-0.00254,0.00000,-0.00122,0.36030,20.644,-0.03333,-0.318,25.0,25.0,0.0,0,
0.5329,0.00000,-0.00254,0.00000,-0.00122,0.36030,20.644,-0.03333,-0.318,25.0,25.0,0.0,0,
0.5991,0.00000,-0.00254,0.00000,-0.00122,0.36030,20.644,-0.03333,-0.318,25.0,25.0,0.0,0,
0.6558,0.00000,-0.00254,0.00000,-0.00122,0.36030,20.644,-0.03333,-0.318,25.0,25.0,0.0,0,
0.7021,0.00000,-0.00254,0.00000,-0.00122,0.36030,20.644,-0.03333,-0.318,25.0,25.0,0.0,0,
0.7581,0.00000,-0.00254,0.00000,-0.00122,0.36030,20.644,-0.03333,-0.318,25.0,25.0,0.0,0,
0.8012,0.00000,-0.00254,0.00000,-0.00122,0.36030,20.644,-0.03333,-0.318,25.0,25.0,0.0,0,
0.8703,0.00000,-0.00254,0.00000,-0.00122,0.36030,20.644,-0.03333,-0.318,25.0,25.0,0.0,0,
0.9243,0.00000,-0.00254,0.00000,-0.00122,0.36030,20.644,-0.03333,-0.318,25.0,25.0,0.0,0,
0.9682,0.00000,-0.00254,0.00000,-0.00122,0.36030,20.644,-0.03333,-0.318,25.0,25.0,0.0,0,
1.0182,0.00000,-0.00254,0.00000,-0.00122,0.36030,20.644,-0.03333,-0.318,25.0,25.0,0.0,0,
1.0698,0.00000,-0.00254,0.00000,-0.00122,0.36030,20.644,-0.03333,-0.318,25.0,25.0,0.0,0,
